uid,ST1_GAP(eV)
test_0,0.84045434
test_1,1.1551764
test_2,1.180443
test_3,0.7660538
test_4,0.8081595
test_5,0.53433764
test_6,1.1212637
test_7,0.8782314
test_8,1.1036172
test_9,0.856052
test_10,0.67557716
test_11,0.85215986
test_12,0.59636766
test_13,0.16380914
test_14,0.8825085
test_15,1.0892869
test_16,1.1487403
test_17,0.82934916
test_18,0.8683362
test_19,1.1705062
test_20,1.01606
test_21,1.1367846
test_22,0.4869524
test_23,0.26848724
test_24,1.0130501
test_25,0.8009844
test_26,1.3902932
test_27,0.5521724
test_28,1.066183
test_29,0.91578776
test_30,0.45302516
test_31,0.7041558
test_32,1.189134
test_33,1.0821675
test_34,0.7700311
test_35,1.3263621
test_36,0.8949786
test_37,0.5575913
test_38,0.24051437
test_39,2.4999497
test_40,1.4536998
test_41,0.97448564
test_42,1.0222199
test_43,0.26541397
test_44,1.0035983
test_45,1.2003226
test_46,0.43255323
test_47,0.8638008
test_48,1.1741197
test_49,1.1235464
test_50,1.0144247
test_51,1.0508568
test_52,1.5017141
test_53,0.9581428
test_54,1.1577673
test_55,1.5852064
test_56,0.5913569
test_57,1.0655577
test_58,0.9691366
test_59,0.8751518
test_60,0.6580285
test_61,0.9838781
test_62,0.5288902
test_63,0.6727594
test_64,0.5802439
test_65,0.3114196
test_66,0.99068934
test_67,0.911944
test_68,0.82128644
test_69,1.0628227
test_70,1.599134
test_71,1.1410822
test_72,0.71106935
test_73,1.2876041
test_74,1.1041713
test_75,0.7335479
test_76,0.9131295
test_77,0.84402835
test_78,1.2530272
test_79,1.0015342
test_80,0.66286945
test_81,0.72509927
test_82,1.1045854
test_83,0.45920122
test_84,0.6941015
test_85,1.4192107
test_86,0.72420335
test_87,0.70801044
test_88,0.8643204
test_89,0.7447516
test_90,1.0148389
test_91,0.69331414
test_92,0.59103084
test_93,0.76658106
test_94,0.82981807
test_95,0.51655567
test_96,0.6144346
test_97,0.9575222
test_98,0.54638433
test_99,0.43677554
test_100,0.84503704
test_101,0.74854994
test_102,1.1869471
test_103,0.9451503
test_104,1.0079634
test_105,0.75093836
test_106,0.45032024
test_107,0.5907758
test_108,1.0268502
test_109,0.4956479
test_110,0.42287332
test_111,0.9269799
test_112,0.9227666
test_113,0.3395605
test_114,0.9101585
test_115,0.91062665
test_116,0.4610787
test_117,1.4625417
test_118,0.7697125
test_119,0.7527046
test_120,0.85937494
test_121,0.91453487
test_122,0.71488523
test_123,0.99680173
test_124,0.62945247
test_125,0.94136626
test_126,1.1009309
test_127,0.65403664
test_128,1.0462174
test_129,1.0659995
test_130,0.6690086
test_131,0.41718745
test_132,0.822731
test_133,0.19703637
test_134,1.0287011
test_135,1.0916677
test_136,1.068294
test_137,0.9691619
test_138,0.1423731
test_139,1.0015662
test_140,1.0957319
test_141,0.78359205
test_142,0.9858546
test_143,1.2459419
test_144,1.0225172
test_145,1.2082832
test_146,0.5665931
test_147,1.310807
test_148,0.80650777
test_149,1.0630283
test_150,0.78611636
test_151,1.2355928
test_152,0.5255806
test_153,0.9324995
test_154,1.110771
test_155,0.25185
test_156,0.88206345
test_157,1.0123321
test_158,0.8075435
test_159,0.5786439
test_160,0.885371
test_161,0.91810954
test_162,0.70530796
test_163,1.1642059
test_164,0.9443391
test_165,0.7649276
test_166,1.0677121
test_167,0.87046576
test_168,0.37529215
test_169,1.2180951
test_170,1.0660136
test_171,1.1782954
test_172,0.56938374
test_173,0.9563852
test_174,0.84505427
test_175,1.2914107
test_176,0.13627908
test_177,1.4828621
test_178,1.1012034
test_179,0.64382875
test_180,0.48435247
test_181,0.9784128
test_182,1.0448103
test_183,0.8295411
test_184,1.3276223
test_185,0.74777365
test_186,0.82873267
test_187,0.09696373
test_188,1.0870253
test_189,0.86115366
test_190,0.84041667
test_191,0.66303396
test_192,0.87808543
test_193,1.1245359
test_194,1.2193382
test_195,1.0268387
test_196,0.50226796
test_197,0.37713185
test_198,0.8513302
test_199,1.264005
test_200,1.2823536
test_201,1.0389068
test_202,0.6507104
test_203,0.8652536
test_204,0.82898086
test_205,0.9472211
test_206,0.5373935
test_207,1.2800021
test_208,1.1715559
test_209,1.0513673
test_210,1.2191247
test_211,0.52103424
test_212,0.9888299
test_213,1.00139
test_214,0.88672537
test_215,1.1860434
test_216,0.90428305
